session_id	acq_time	sample	stains
ses-20210521h17m17s06	2021-05-21T17:17:06	178	LEC,NN,NPY
ses-20210524h18m29s31	2021-05-24T18:29:31	179	LEC,NPY
ses-20210611h15m51s46	2021-06-11T15:51:46	170	LEC,NN,YO
ses-20210612h12m11s58	2021-06-12T12:11:58	172	LEC,NN,YO
ses-20210614h15m30s08	2021-06-14T15:30:08	169	LEC,NN,YO
ses-20210614h22m41s59	2021-06-14T22:41:59	150	LEC,NN,YO
ses-20210615h18m19s52	2021-06-15T18:19:52	167	LEC,NN,YO
ses-20210615h23m54s27	2021-06-15T23:54:27	168	LEC,NN,YO
ses-20210701h13m53s49	2021-07-01T13:53:49	166	LEC,NN,YO
ses-20210702h09m39s16	2021-07-02T09:39:16	165	LEC,NN,YO
ses-20210702h17m19s06	2021-07-02T17:19:06	164	LEC,NN,YO
ses-20210703h01m05s04	2021-07-03T01:05:04	163	LEC,NN,YO
ses-20210703h16m32s10	2021-07-03T16:32:10	162	LEC,NN,YO
ses-20210704h00m54s58	2021-07-04T00:54:58	161	LEC,NN,YO
ses-20210704h12m16s34	2021-07-04T12:16:34	160	LEC,YO
ses-20210704h21m07s40	2021-07-04T21:07:40	159	LEC,NN,YO
ses-20210706h23m08s14	2021-07-06T23:08:14	158	LEC,NN,YO
ses-20210707h22m03s23	2021-07-07T22:03:23	156	LEC,NN,YO
ses-20210708h07m45s44	2021-07-08T07:45:44	157	LEC,NN,YO
ses-20210708h18m31s21	2021-07-08T18:31:21	155	CR,NPY,YO
ses-20210709h05m43s00	2021-07-09T05:43:00	154	LEC,YO
ses-20210717h14m15s57	2021-07-17T14:15:57	152	LEC,NN,YO
ses-20210718h00m37s58	2021-07-18T00:37:58	153	LEC,NN,YO
ses-20210718h20m15s50	2021-07-18T20:15:50	151	LEC,NN,YO
ses-20210719h09m41s20	2021-07-19T09:41:20	147	LEC,NN,YO
ses-20210720h20m19s32	2021-07-20T20:19:32	127	LEC,NN,YO
ses-20210721h22m29s00	2021-07-21T22:29:00	128	LEC,NN,YO
ses-20210722h16m33s43	2021-07-22T16:33:43	126	LEC,NN,YO
ses-20210723h17m40s25	2021-07-23T17:40:25	125	LEC,NN,YO
ses-20210809h18m30s07	2021-08-09T18:30:07	124	LEC,NN,YO
ses-20210811h08m54s42	2021-08-11T08:54:42	123	LEC,NN,YO
ses-20210812h19m21s32	2021-08-12T19:21:32	122	LEC,NN,YO
ses-20210813h22m03s27	2021-08-13T22:03:27	121	LEC,NN,YO
ses-20210815h19m09s40	2021-08-15T19:09:40	73	LEC,NN,YO
ses-20210816h18m00s11	2021-08-16T18:00:11	81	LEC,NN,YO
ses-20210817h18m20s17	2021-08-17T18:20:17	120	LEC,NN,YO
ses-20210820h19m29s49	2021-08-20T19:29:49	41	LEC,NN,YO
ses-20210822h18m19s32	2021-08-22T18:19:32	42	LEC,NN,YO
ses-20210825h18m14s24	2021-08-25T18:14:24	116	LEC,NN,YO
ses-20210827h18m23s51	2021-08-27T18:23:51	117	LEC,NN,YO
ses-20210829h00m40s41	2021-08-29T00:40:41	118	LEC,NN,YO
ses-20210829h21m53s32	2021-08-29T21:53:32	115	LEC,NN,YO
ses-20210901h20m38s50	2021-09-01T20:38:50	40	LEC,NN,YO
ses-20210902h20m33s45	2021-09-02T20:33:45	44	LEC,NN,YO
ses-20210903h14m43s46	2021-09-03T14:43:46	39	LEC,NN,YO
ses-20210904h19m09s43	2021-09-04T19:09:43	32	LEC,NN,YO
ses-20210906h17m50s41	2021-09-06T17:50:41	114	LEC,NN,YO
ses-20210907h18m00s34	2021-09-07T18:00:34	113	LEC,NN,YO
ses-20210915h15m45s27	2021-09-15T15:45:27	109	LEC,NN,YO
ses-20210917h20m34s56	2021-09-17T20:34:56	108	LEC,NN,YO
